"review_id","record_type","review_priority","confidence","source_term_or_finding","chosen_rendering_or_treatment","language","script","locale","unit_id","section_path","source_file","target_file","source_locator","target_locator","segment_id","final_printed_page","pagination_status","expert_review_status","please_double_check"
"REV-TE-T001","terminology_or_sense_decision","standard","not_separately_graded","set","సమితి","Telugu","Telu","te-Telu-IN","OLP-0005","sets-functions-relations/sets/basics","content/sets-functions-relations/sets/basics.tex","translation/content/sets-functions-relations/sets/basics.tex","content/sets-functions-relations/sets/basics.tex:12-17","translation/content/sets-functions-relations/sets/basics.tex:12-17","OLP-0005-B005","","pending_coherent_reader_pagination","provisional_pending_optional_specialist_review_no_hold","Please double-check whether “సమితి” is idiomatic and technically standard for “set” in Telugu logic/mathematics across Andhra Pradesh and Telangana. If not, what exact replacement should be used while leaving the displayed definition, formulas and source scope unchanged?"
"REV-TE-T002","terminology_or_sense_decision","standard","moderate","element/member of a set","మూలకం","Telugu","Telu","te-Telu-IN","OLP-0005","sets-functions-relations/sets/basics","content/sets-functions-relations/sets/basics.tex","translation/content/sets-functions-relations/sets/basics.tex","content/sets-functions-relations/sets/basics.tex:12-17","translation/content/sets-functions-relations/sets/basics.tex:12-17","OLP-0005-B005","","pending_coherent_reader_pagination","provisional_pending_optional_specialist_review_no_hold","Please double-check whether “మూలకం” is idiomatic and technically standard for “element/member of a set” in Telugu logic/mathematics across Andhra Pradesh and Telangana. If not, what exact replacement should be used while leaving the displayed definition, formulas and source scope unchanged?"
"REV-TE-T003","terminology_or_sense_decision","high","mixed_provisional","extensionality","సమితుల సమానత్వ సూత్రం (Extensionality)","Telugu","Telu","te-Telu-IN","OLP-0005","sets-functions-relations/sets/basics","content/sets-functions-relations/sets/basics.tex","translation/content/sets-functions-relations/sets/basics.tex","content/sets-functions-relations/sets/basics.tex:9-10","translation/content/sets-functions-relations/sets/basics.tex:9-10","OLP-0005-B004","","pending_coherent_reader_pagination","provisional_pending_optional_specialist_review_no_hold","Please double-check whether “సమితుల సమానత్వ సూత్రం (Extensionality)” is idiomatic and technically standard for “extensionality” in Telugu logic/mathematics across Andhra Pradesh and Telangana. If not, what exact replacement should be used while leaving the displayed definition, formulas and source scope unchanged?"
"REV-TE-T004","terminology_or_sense_decision","standard","moderate","subset / proper subset","ఉపసమితి / క్రమ ఉపసమితి","Telugu","Telu","te-Telu-IN","OLP-0006","sets-functions-relations/sets/subsets","content/sets-functions-relations/sets/subsets.tex","translation/content/sets-functions-relations/sets/subsets.tex","content/sets-functions-relations/sets/subsets.tex:19-25","translation/content/sets-functions-relations/sets/subsets.tex:19-26","OLP-0006-B006","","pending_coherent_reader_pagination","provisional_pending_optional_specialist_review_no_hold","Please double-check whether “ఉపసమితి / క్రమ ఉపసమితి” is idiomatic and technically standard for “subset / proper subset” in Telugu logic/mathematics across Andhra Pradesh and Telangana. If not, what exact replacement should be used while leaving the displayed definition, formulas and source scope unchanged?"
"REV-TE-T005","terminology_or_sense_decision","standard","moderate","power set","ఘాత సమితి","Telugu","Telu","te-Telu-IN","OLP-0006","sets-functions-relations/sets/subsets","content/sets-functions-relations/sets/subsets.tex","translation/content/sets-functions-relations/sets/subsets.tex","content/sets-functions-relations/sets/subsets.tex:75-81","translation/content/sets-functions-relations/sets/subsets.tex:78-84","OLP-0006-B015","","pending_coherent_reader_pagination","provisional_pending_optional_specialist_review_no_hold","Please double-check whether “ఘాత సమితి” is idiomatic and technically standard for “power set” in Telugu logic/mathematics across Andhra Pradesh and Telangana. If not, what exact replacement should be used while leaving the displayed definition, formulas and source scope unchanged?"
"REV-TE-T006","terminology_or_sense_decision","standard","not_separately_graded","proof / theorem","నిరూపణ / సిద్ధాంతం","Telugu","Telu","te-Telu-IN","OLP-0010","sets-functions-relations/sets/russells-paradox","content/sets-functions-relations/sets/russells-paradox.tex","translation/content/sets-functions-relations/sets/russells-paradox.tex","content/sets-functions-relations/sets/russells-paradox.tex:54-62","translation/content/sets-functions-relations/sets/russells-paradox.tex:57-66","OLP-0010-B011","","pending_coherent_reader_pagination","provisional_pending_optional_specialist_review_no_hold","Please double-check whether “నిరూపణ / సిద్ధాంతం” is idiomatic and technically standard for “proof / theorem” in Telugu logic/mathematics across Andhra Pradesh and Telangana. If not, what exact replacement should be used while leaving the displayed definition, formulas and source scope unchanged?"
"REV-TE-T007","terminology_or_sense_decision","standard","not_separately_graded","logic","తర్కం","Telugu","Telu","te-Telu-IN","OLP-0018","sets-functions-relations/relations/trees","content/sets-functions-relations/relations/trees.tex","translation/content/sets-functions-relations/relations/trees.tex","content/sets-functions-relations/relations/trees.tex:12-20","translation/content/sets-functions-relations/relations/trees.tex:12-19","OLP-0018-B005","","pending_coherent_reader_pagination","provisional_pending_optional_specialist_review_no_hold","Please double-check whether “తర్కం” is idiomatic and technically standard for “logic” in Telugu logic/mathematics across Andhra Pradesh and Telangana. If not, what exact replacement should be used while leaving the displayed definition, formulas and source scope unchanged?"
"REV-TE-T008","terminology_or_sense_decision","standard","not_separately_graded","natural number / integer / positive integer","సహజ సంఖ్య / పూర్ణ సంఖ్య / ధన పూర్ణ సంఖ్య","Telugu","Telu","te-Telu-IN","OLP-0007","sets-functions-relations/sets/important-sets","content/sets-functions-relations/sets/important-sets.tex","translation/content/sets-functions-relations/sets/important-sets.tex","content/sets-functions-relations/sets/important-sets.tex:12-27","translation/content/sets-functions-relations/sets/important-sets.tex:12-26","OLP-0007-B005","","pending_coherent_reader_pagination","provisional_pending_optional_specialist_review_no_hold","Please double-check whether “సహజ సంఖ్య / పూర్ణ సంఖ్య / ధన పూర్ణ సంఖ్య” is idiomatic and technically standard for “natural number / integer / positive integer” in Telugu logic/mathematics across Andhra Pradesh and Telangana. If not, what exact replacement should be used while leaving the displayed definition, formulas and source scope unchanged?"
"REV-TE-T008","terminology_or_sense_decision","standard","not_separately_graded","natural number / integer / positive integer","సహజ సంఖ్య / పూర్ణ సంఖ్య / ధన పూర్ణ సంఖ్య","Telugu","Telu","te-Telu-IN","OLP-0007","sets-functions-relations/sets/important-sets","content/sets-functions-relations/sets/important-sets.tex","translation/content/sets-functions-relations/sets/important-sets.tex","content/sets-functions-relations/sets/important-sets.tex:12-27","translation/content/sets-functions-relations/sets/important-sets.tex:12-26","OLP-0007-B005","","pending_coherent_reader_pagination","provisional_pending_optional_specialist_review_no_hold","Please double-check whether “సహజ సంఖ్య / పూర్ణ సంఖ్య / ధన పూర్ణ సంఖ్య” is idiomatic and technically standard for “natural number / integer / positive integer” in Telugu logic/mathematics across Andhra Pradesh and Telangana. If not, what exact replacement should be used while leaving the displayed definition, formulas and source scope unchanged?"
"REV-TE-T008","terminology_or_sense_decision","standard","not_separately_graded","natural number / integer / positive integer","సహజ సంఖ్య / పూర్ణ సంఖ్య / ధన పూర్ణ సంఖ్య","Telugu","Telu","te-Telu-IN","OLP-0007","sets-functions-relations/sets/important-sets","content/sets-functions-relations/sets/important-sets.tex","translation/content/sets-functions-relations/sets/important-sets.tex","content/sets-functions-relations/sets/important-sets.tex:40-43","translation/content/sets-functions-relations/sets/important-sets.tex:41-43","OLP-0007-B007","","pending_coherent_reader_pagination","provisional_pending_optional_specialist_review_no_hold","Please double-check whether “సహజ సంఖ్య / పూర్ణ సంఖ్య / ధన పూర్ణ సంఖ్య” is idiomatic and technically standard for “natural number / integer / positive integer” in Telugu logic/mathematics across Andhra Pradesh and Telangana. If not, what exact replacement should be used while leaving the displayed definition, formulas and source scope unchanged?"
